caller,text,act_tag,task1_pred,task2_pred,task3_pred,task4_pred
A,"Okay, {F uh, }  /",o,Okay,o,qy,^h
A,"could you tell me what you think contributes most to, {F uh, } air pollution? /",qw," 
Question", qw, no, qw
B,"{D Well, } it's hard to say.  /",^h," 
Acknowledgment", sd, sv, sv
B,"{E I mean, } while it's certainly the case that things like automobiles and factories, {F uh, } pollute a lot, {F uh, } if you look at how much pollution is say kicked up by an active volcano, {F uh, } it's certainly less than clear that anything man can do in this sort of scale of things has much effect at all.  /",sv," 
Statement", ^h, qy, sv
B,What do you think? /,qo," 
Question", qy, qw, qo
A,"{F Um, } {D well, } you talked about, {F uh, } volcanos.  /",sd," 
Statement", sd, qw, ^h
A,"I'm not sure how many active volcanos there are now, [ and, + and ] what the amount of material that they do, {F uh, } put into the atmosphere.  /",sd," 
Statement", sd^m, sd, sv
A,"I think probably the greatest cause is, {F uh, } vehicles,",sv," 
Acknowledgment", sv, qw, sv
B,Uh-huh. /,b," 
Statement", sd, sd^e, qw
A,especially around cities.  /,+," 
Question", qy, sv, sv
A,"{F Um, } {F uh, } do you live right in the city itself? /",qy," 
Statement", sd^e, sv, ^h
B,"No,  /",nn," 
Statement", b, sv, sv
B,"I'm more out in the suburbs,  /",sd^e," 
Acknowledgment", +, sd, sv
B,{C but } I certainly work near a city. /,sd," 
Statement", nq, qy, sv
A,"Okay,  /",bk," 
Question", qh, sd, sv
A,"{C so } [ ca-, +",qy," 
Statement", sd^m, sv, sv
B,How about you? /,qo," 
Statement", sv, sd, sv
A,"Can ] you notice, - /",+," 
Statement", sd^m, sd, sv
A,"{D well } [ it's, + it's,  ] - /",%," 
Statement", bk, sd, sv
A,I live in a rural area. /,sd," 
Statement", +, sd, sv
B,Uh-huh. /,b," 
Statement", qy, sd, sv
A,"It's mainly farms and, {F uh, } no heavy industry.  /",sd," 
Statement", no, sd, ^h
A,"Attleboro, itself, - /",sd," 
Statement", qw, sv, sv
A,I live in Rhode Island. /,sd," 
Statement", qw, n, sv
B,"{F Oh, } I see. /",b," 
Statement", qy^g, sv, sv
A,"{C And, } it's in the north,  /",sd," 
Statement", sd^t, sd, sv
A,"I live up in the, {F uh, } northeast corner  /",sd," 
Acknowledgment", na, sd, sv
A,"{C and } Attleboro sits in just over the line,",sd," 
Statement", sd^m, sd, sv
B,Uh-huh. /,b," 
Statement", sd, sd, sv
A,"where T I's plant is,  /",+," 
Statement", sd^e, sv, sv
A,{C but } there isn't a lot of heavy industry.  /,sd," 
Statement", sd, sd, sv
A,There's the freeways  /,sd," 
Statement", qy^d, sv, sv
A,"{C and } we get an occasional, - /",sd," 
Acknowledgment", qh, xx, sv
A,"it depends which way the wind's blowing from Boston, cause we're {D like } forty miles south of Boston,  /",sd," 
Statement", ba^r, ng, sv
A,{C so } we'll pick up that.  /,sd," 
Statement", sv, qy^d, sv
A,"{C And, } {F uh, } I've noticed over the past say, maybe five or six years, {F uh, } - /",sd," 
Statement", sd^m, qy, sv
A,we live about twenty miles away from the state airport  /,sd," 
Statement", sd^e, sd, sv
